,ID,Sex,Age,ModesOfTravel,TravelMotives,Margins,Periods,StagesPerPersonPerDayAverage_1,DistanceTravelledPerStageAverage_2
48308,48308,Male,30 to 39 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2017,0.03,37.99
48309,48309,Male,30 to 39 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2018,0.03,38.33
48310,48310,Male,30 to 39 years,Car as passenger,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2019,0.03,38.87
48312,48312,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,1999,0.02,8.31
48313,48313,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2000,0.02,8.42
48314,48314,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2001,0.02,8.45
48315,48315,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2002,0.02,8.46
48316,48316,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2003,0.02,8.73
48317,48317,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2004,0.02,8.74
48318,48318,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2005,0.02,8.79
48319,48319,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2006,0.02,8.86
48320,48320,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2007,0.02,8.97
48321,48321,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2008,0.02,8.85
48322,48322,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2009,0.02,9.0
48323,48323,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2010,0.02,9.11
48324,48324,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2011,0.01,9.26
48325,48325,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2012,0.01,9.14
48326,48326,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2013,0.01,9.25
48327,48327,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2014,0.01,9.3
48328,48328,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2015,0.02,9.31
48329,48329,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2016,0.02,9.33
48330,48330,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2017,0.02,9.47
48331,48331,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2018,0.02,9.46
48332,48332,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2019,0.01,9.62
48333,48333,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Value,2020,0.01,7.78
48334,48334,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,1999,0.01,6.8
48335,48335,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2000,0.01,6.96
48336,48336,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2001,0.01,7.03
48337,48337,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2002,0.01,7.07
48338,48338,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2003,0.01,7.36
48339,48339,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2004,0.01,7.38
48340,48340,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2005,0.01,7.46
48341,48341,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2006,0.01,7.61
48342,48342,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2007,0.01,7.68
48343,48343,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2008,0.01,7.59
48344,48344,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2009,0.01,7.81
48345,48345,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2010,0.02,8.05
48346,48346,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2011,0.01,8.14
48347,48347,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2012,0.01,8.04
48348,48348,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2013,0.01,8.2
48349,48349,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2014,0.01,8.17
48350,48350,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2015,0.01,8.15
48351,48351,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2016,0.01,8.12
48352,48352,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2017,0.01,8.23
48353,48353,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2018,0.01,8.19
48354,48354,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2019,0.01,8.15
48355,48355,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2020,0.01,6.53
48356,48356,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,1999,0.03,9.95
48357,48357,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2000,0.03,10.04
48358,48358,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2001,0.03,10.01
48359,48359,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2002,0.03,9.92
48360,48360,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2003,0.03,10.2
48361,48361,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2004,0.03,10.11
48362,48362,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2005,0.03,10.09
48363,48363,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2006,0.03,10.22
48364,48364,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2007,0.02,10.25
48365,48365,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2008,0.02,10.04
48366,48366,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2009,0.02,10.19
48367,48367,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2010,0.02,10.38
48368,48368,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2011,0.02,10.48
48369,48369,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2012,0.02,10.33
48370,48370,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2013,0.02,10.51
48371,48371,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2014,0.02,10.46
48372,48372,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2015,0.02,10.49
48373,48373,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2016,0.02,10.56
48374,48374,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2017,0.02,10.77
48375,48375,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2018,0.02,10.86
48376,48376,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2019,0.02,11.04
48377,48377,Male,30 to 39 years,Car as passenger,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2020,0.02,9.06
48444,48444,Male,30 to 39 years,Car as passenger,Other,Value,1999,0.14,25.46
48445,48445,Male,30 to 39 years,Car as passenger,Other,Value,2000,0.13,25.36
48446,48446,Male,30 to 39 years,Car as passenger,Other,Value,2001,0.13,25.44
48447,48447,Male,30 to 39 years,Car as passenger,Other,Value,2002,0.12,25.5
48448,48448,Male,30 to 39 years,Car as passenger,Other,Value,2003,0.13,25.73
48449,48449,Male,30 to 39 years,Car as passenger,Other,Value,2004,0.13,25.96
48450,48450,Male,30 to 39 years,Car as passenger,Other,Value,2005,0.12,26.17
48451,48451,Male,30 to 39 years,Car as passenger,Other,Value,2006,0.11,26.15
48452,48452,Male,30 to 39 years,Car as passenger,Other,Value,2007,0.11,26.14
48453,48453,Male,30 to 39 years,Car as passenger,Other,Value,2008,0.1,25.88
48454,48454,Male,30 to 39 years,Car as passenger,Other,Value,2009,0.11,25.69
48455,48455,Male,30 to 39 years,Car as passenger,Other,Value,2010,0.11,25.98
48456,48456,Male,30 to 39 years,Car as passenger,Other,Value,2011,0.09,26.18
48457,48457,Male,30 to 39 years,Car as passenger,Other,Value,2012,0.1,25.99
48458,48458,Male,30 to 39 years,Car as passenger,Other,Value,2013,0.1,26.08
48459,48459,Male,30 to 39 years,Car as passenger,Other,Value,2014,0.1,26.16
48460,48460,Male,30 to 39 years,Car as passenger,Other,Value,2015,0.09,26.18
48461,48461,Male,30 to 39 years,Car as passenger,Other,Value,2016,0.09,25.92
48462,48462,Male,30 to 39 years,Car as passenger,Other,Value,2017,0.09,25.86
48463,48463,Male,30 to 39 years,Car as passenger,Other,Value,2018,0.09,26.04
48464,48464,Male,30 to 39 years,Car as passenger,Other,Value,2019,0.09,26.12
48465,48465,Male,30 to 39 years,Car as passenger,Other,Value,2020,0.07,23.44
48466,48466,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,1999,0.12,22.37
48467,48467,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2000,0.11,22.4
48468,48468,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2001,0.1,22.48
48469,48469,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2002,0.1,22.65
48470,48470,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2003,0.11,22.9
48471,48471,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2004,0.11,23.34
48472,48472,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2005,0.1,23.57
48473,48473,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2006,0.1,23.74
48474,48474,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2007,0.09,23.82
48475,48475,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2008,0.09,23.54
48476,48476,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2009,0.09,23.57
48477,48477,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2010,0.1,23.92
48478,48478,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2011,0.08,24.18
48479,48479,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2012,0.09,24.12
48480,48480,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2013,0.09,23.99
48481,48481,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2014,0.09,24.2
48482,48482,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2015,0.08,24.17
48483,48483,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2016,0.08,23.8
48484,48484,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2017,0.08,23.68
48485,48485,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2018,0.08,23.75
48486,48486,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2019,0.08,23.64
48487,48487,Male,30 to 39 years,Car as passenger,Other,Lower bound 95% confidence interval,2020,0.05,20.9
48488,48488,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,1999,0.16,29.1
48489,48489,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2000,0.16,28.89
48490,48490,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2001,0.15,28.64
48491,48491,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2002,0.14,28.61
48492,48492,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2003,0.15,28.66
48493,48493,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2004,0.14,28.93
48494,48494,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2005,0.14,29.01
48495,48495,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2006,0.13,29.0
48496,48496,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2007,0.12,28.84
48497,48497,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2008,0.12,28.28
48498,48498,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2009,0.12,28.15
48499,48499,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2010,0.12,28.13
48500,48500,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2011,0.1,28.35
48501,48501,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2012,0.11,28.21
48502,48502,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2013,0.11,28.06
48503,48503,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2014,0.11,28.27
48504,48504,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2015,0.1,28.29
48505,48505,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2016,0.1,28.06
48506,48506,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2017,0.1,28.09
48507,48507,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2018,0.1,28.47
48508,48508,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2019,0.1,28.68
48509,48509,Male,30 to 39 years,Car as passenger,Other,Upper bound 95% confidence interval,2020,0.08,26.16
48576,48576,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,1999,0.04,41.79
48577,48577,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2000,0.04,41.55
48578,48578,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2001,0.04,41.73
48579,48579,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2002,0.04,41.79
48580,48580,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2003,0.04,41.34
48581,48581,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2004,0.04,41.39
48582,48582,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2005,0.04,40.75
48583,48583,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2006,0.05,40.33
48584,48584,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2007,0.05,40.19
48585,48585,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2008,0.05,41.0
48586,48586,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2009,0.05,41.01
48587,48587,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2010,0.05,40.58
48588,48588,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2011,0.05,40.34
48589,48589,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2012,0.05,40.25
48590,48590,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2013,0.06,40.02
48591,48591,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2014,0.06,39.72
48592,48592,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2015,0.06,39.58
48593,48593,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2016,0.06,39.79
48594,48594,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2017,0.06,39.03
48595,48595,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2018,0.07,38.87
48596,48596,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2019,0.07,38.88
48597,48597,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Value,2020,0.02,35.94
48598,48598,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,1999,0.03,35.97
48599,48599,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2000,0.03,36.25
48600,48600,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2001,0.03,36.37
48601,48601,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2002,0.03,36.99
48602,48602,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2003,0.03,36.66
48603,48603,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2004,0.03,36.77
48604,48604,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2005,0.03,36.36
48605,48605,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2006,0.04,36.04
48606,48606,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2007,0.04,36.05
48607,48607,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2008,0.04,37.25
48608,48608,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2009,0.04,37.49
48609,48609,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2010,0.04,37.19
48610,48610,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2011,0.05,37.05
48611,48611,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2012,0.05,37.09
48612,48612,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2013,0.05,36.6
48613,48613,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2014,0.05,36.49
48614,48614,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2015,0.05,36.31
48615,48615,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2016,0.05,36.26
48616,48616,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2017,0.06,35.58
48617,48617,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2018,0.06,34.8
48618,48618,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2019,0.06,34.84
48619,48619,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2020,0.02,31.2
48620,48620,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,1999,0.05,47.89
48621,48621,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2000,0.05,47.49
48622,48622,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2001,0.05,47.26
48623,48623,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2002,0.05,47.39
48624,48624,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2003,0.05,46.49
48625,48625,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2004,0.06,46.18
48626,48626,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2005,0.06,45.29
48627,48627,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2006,0.06,44.59
48628,48628,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2007,0.06,44.31
48629,48629,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2008,0.06,45.16
48630,48630,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2009,0.06,44.97
48631,48631,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2010,0.06,44.07
48632,48632,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2011,0.06,43.6
48633,48633,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2012,0.06,43.62
48634,48634,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2013,0.06,43.13
48635,48635,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2014,0.06,42.99
48636,48636,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2015,0.06,42.79
48637,48637,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2016,0.07,43.22
48638,48638,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2017,0.07,42.7
48639,48639,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2018,0.08,42.56
48640,48640,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2019,0.08,43.03
48641,48641,Male,30 to 39 years,Train,"Travel to/from work, (non)-daily commute",Upper bound 95% confidence interval,2020,0.03,40.84
48660,48660,Male,30 to 39 years,Train,"Shopping, groceries, funshopping.",Value,2017,0.0,34.84
48682,48682,Male,30 to 39 years,Train,"Shopping, groceries, funshopping.",Lower bound 95% confidence interval,2017,0.0,28.84
48704,48704,Male,30 to 39 years,Train,"Shopping, groceries, funshopping.",Upper bound 95% confidence interval,2017,0.01,41.06
48774,48774,Male,30 to 39 years,Train,Other,Value,1999,0.02,60.12
48775,48775,Male,30 to 39 years,Train,Other,Value,2000,0.02,59.86
48776,48776,Male,30 to 39 years,Train,Other,Value,2001,0.02,59.89
48777,48777,Male,30 to 39 years,Train,Other,Value,2002,0.02,59.58
48778,48778,Male,30 to 39 years,Train,Other,Value,2003,0.02,58.79
48779,48779,Male,30 to 39 years,Train,Other,Value,2004,0.02,58.7
48780,48780,Male,30 to 39 years,Train,Other,Value,2005,0.02,57.87
48781,48781,Male,30 to 39 years,Train,Other,Value,2006,0.02,57.31
48782,48782,Male,30 to 39 years,Train,Other,Value,2007,0.02,57.26
48783,48783,Male,30 to 39 years,Train,Other,Value,2008,0.02,58.26
48784,48784,Male,30 to 39 years,Train,Other,Value,2009,0.02,58.45
48785,48785,Male,30 to 39 years,Train,Other,Value,2010,0.02,58.0
48786,48786,Male,30 to 39 years,Train,Other,Value,2011,0.02,56.71
48787,48787,Male,30 to 39 years,Train,Other,Value,2012,0.02,55.78
48788,48788,Male,30 to 39 years,Train,Other,Value,2013,0.02,56.42
48789,48789,Male,30 to 39 years,Train,Other,Value,2014,0.02,56.26
48790,48790,Male,30 to 39 years,Train,Other,Value,2015,0.02,55.11
48791,48791,Male,30 to 39 years,Train,Other,Value,2016,0.02,55.83
48792,48792,Male,30 to 39 years,Train,Other,Value,2017,0.02,55.5
48793,48793,Male,30 to 39 years,Train,Other,Value,2018,0.02,53.79
48794,48794,Male,30 to 39 years,Train,Other,Value,2019,0.03,53.81
48795,48795,Male,30 to 39 years,Train,Other,Value,2020,0.01,54.51
48796,48796,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,1999,0.01,49.43
48797,48797,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2000,0.01,50.54
48798,48798,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2001,0.01,50.7
48799,48799,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2002,0.01,50.9
48800,48800,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2003,0.01,50.48
48801,48801,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2004,0.01,50.91
48802,48802,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2005,0.01,50.45
48803,48803,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2006,0.01,49.94
48804,48804,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2007,0.02,50.29
48805,48805,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2008,0.01,51.75
48806,48806,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2009,0.02,51.86
48807,48807,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2010,0.02,51.9
48808,48808,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2011,0.02,50.75
48809,48809,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2012,0.02,49.91
48810,48810,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2013,0.02,50.84
48811,48811,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2014,0.02,50.42
48812,48812,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2015,0.02,49.49
48813,48813,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2016,0.02,49.84
48814,48814,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2017,0.02,48.87
48815,48815,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2018,0.02,47.61
48816,48816,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2019,0.02,47.08
48817,48817,Male,30 to 39 years,Train,Other,Lower bound 95% confidence interval,2020,0.01,46.52
48818,48818,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,1999,0.03,70.31
48819,48819,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2000,0.03,70.37
48820,48820,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2001,0.03,69.72
48821,48821,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2002,0.03,69.09
48822,48822,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2003,0.03,67.63
48823,48823,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2004,0.03,67.5
48824,48824,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2005,0.03,65.94
48825,48825,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2006,0.03,65.03
48826,48826,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2007,0.03,64.57
48827,48827,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2008,0.03,65.57
48828,48828,Male,30 to 39 years,Train,Other,Upper bound 95% confidence interval,2009,0.03,65.19
